timestamp,coin,direction,entry_price,exit_price,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,mfe_pct,balance_after
2026-07-19 17:50,HEMI,SHORT,0.004443,0.004656,-4.7941,0.8,-24.7703,LOSS,72.6,SL,3.849,4432.56
2026-07-19 17:55,STO,SHORT,0.04296,0.04138,3.6778,0.8,17.5892,WIN,72.0,TIMEOUT,4.539,4450.15
2026-07-19 18:00,PIPPIN,LONG,0.0171,0.01655,-3.2164,0.8,-16.8819,LOSS,76.7,TIMEOUT,1.637,4433.27
2026-07-19 19:35,STX,SHORT,0.1651,0.1631,1.2114,0.8,5.2569,WIN,78.8,TIMEOUT,1.211,4438.13
2026-07-19 20:30,AVNT,SHORT,0.0924,0.0891,3.5714,0.8,17.0571,WIN,79.8,TIMEOUT,4.978,4455.18
2026-07-19 20:45,BLESS,LONG,0.00862,0.009228,7.0534,0.8,34.4668,WIN,26.0,TRAIL,8.643,4489.65
2026-07-19 22:55,YB,LONG,0.09607,0.09178,-4.4655,0.8,-23.1275,LOSS,3.9,SL,0.0,4466.12
2026-07-19 23:35,BERA,SHORT,0.1832,0.1833,-0.0546,0.8,-1.0729,LOSS,72.2,TIMEOUT,1.365,4465.05
2026-07-20 08:30,JOE,SHORT,0.02709,0.02662,1.735,0.8,7.8748,WIN,72.9,TIMEOUT,2.473,4472.92
2026-07-20 11:20,SIREN,LONG,0.03276,0.03089,-5.7082,0.8,-29.3409,LOSS,0.9,SL,0.0,4442.78
2026-07-20 14:55,LAB,SHORT,0.1447,0.1505,-4.0083,0.8,-20.8415,LOSS,4.6,SL,0.484,4421.94
2026-07-21 00:00,S,SHORT,0.02396,0.0251,-4.7579,0.8,-24.5896,LOSS,52.5,SL,2.671,4396.55
2026-07-21 02:05,TAC,SHORT,0.003133,0.003272,-4.4366,0.8,-22.9832,LOSS,2.4,SL,0.192,4371.97
2026-07-21 03:35,G,SHORT,0.003176,0.003319,-4.5025,0.8,-23.3126,LOSS,3.5,SL,0.126,4347.46
2026-07-21 03:50,MIRA,SHORT,0.04018,0.04181,-4.0567,0.8,-21.0837,LOSS,30.2,SL,4.156,4326.37
2026-07-21 03:55,BLESS,LONG,0.010557,0.00987,-6.5075,0.8,-33.3377,LOSS,1.5,SL,0.114,4292.63
2026-07-21 07:40,VVV,LONG,12.032,12.952,7.6463,0.8,37.4314,WIN,3.1,TRAIL,9.408,4329.27
2026-07-21 08:40,MYX,LONG,0.083,0.07921,-4.5663,0.8,-23.6313,LOSS,7.0,SL,0.976,4305.23
2026-07-21 12:10,COAI,LONG,0.3251,0.3442,5.8751,0.8,28.5756,WIN,19.3,TRAIL,7.721,4333.41
2026-07-22 06:40,STRK,LONG,0.02863,0.02905,1.467,0.8,6.535,WIN,80.5,TIMEOUT,3.388,4339.55
2026-07-23 15:50,FET,LONG,0.1594,0.1528,-4.1405,0.8,-21.5026,LOSS,56.2,SL,0.502,4317.64
2026-07-23 16:20,BANANAS31,LONG,0.007153,0.00686,-4.0962,0.8,-21.2809,LOSS,60.5,SL,3.048,4296.36
2026-07-24 05:45,STX,LONG,0.1672,0.1438,-13.9952,0.8,-70.7761,LOSS,73.8,SL,1.196,4225.59
2026-07-24 07:30,NIL,LONG,0.03644,0.03581,-1.7289,0.8,-9.4443,LOSS,76.4,TIMEOUT,2.58,4216.14
2026-07-24 09:00,EUL,LONG,1.0139,1.0074,-0.6411,0.8,-4.0054,LOSS,80.7,TIMEOUT,1.095,4212.14
2026-07-24 09:20,ENSO,LONG,0.7576,0.7692,1.5312,0.8,6.8558,WIN,79.5,TIMEOUT,2.706,4218.99
2026-07-24 09:20,FIL,LONG,0.752,0.7315,-2.7261,0.8,-14.4303,LOSS,72.6,TIMEOUT,2.46,4204.56
2026-07-24 11:00,SOPH,LONG,0.004584,0.004545,-0.8508,0.8,-5.0539,LOSS,80.1,TIMEOUT,4.952,4199.51
2026-07-24 17:00,FLUX,LONG,0.04315,0.04076,-5.5388,0.8,-28.4941,LOSS,76.6,SL,1.46,4170.21
2026-07-25 08:05,RESOLV,SHORT,0.01906,0.01861,2.361,0.8,11.0048,WIN,73.0,TIMEOUT,2.571,4180.42
2026-07-25 19:25,VVV,LONG,12.625,13.469,6.6851,0.8,32.6257,WIN,14.7,TRAIL,8.673,4210.64
2026-07-26 09:40,AIXBT,SHORT,0.01768,0.0185,-4.638,0.8,-23.99,LOSS,24.8,SL,0.735,4186.25
2026-07-26 10:55,GIGGLE,SHORT,25.06,26.58,-6.0654,0.8,-31.1272,LOSS,25.8,SL,0.0,4155.13
2026-07-26 16:20,SOON,LONG,0.1734,0.1918,10.6113,0.8,52.2565,WIN,28.7,TP,10.611,4206.98
2026-07-26 22:50,STRK,LONG,0.02997,0.03112,3.8372,0.8,18.3859,WIN,29.8,TRAIL,5.405,4224.57
2026-07-27 00:45,ENSO,LONG,0.817,0.7808,-4.4308,0.8,-22.9542,LOSS,37.3,SL,2.546,4201.21
2026-07-27 01:50,NIL,LONG,0.03688,0.04071,10.385,0.8,51.1252,WIN,7.9,TP,10.385,4252.34
2026-07-27 02:55,METIS,SHORT,2.646,2.753,-4.0438,0.8,-21.0192,LOSS,60.6,SL,0.34,4231.32
2026-07-27 09:15,BLESS,LONG,0.00899,0.008608,-4.2492,0.8,-22.0458,LOSS,16.1,SL,0.823,4208.07
2026-07-27 10:20,BULLA,LONG,0.011827,0.013083,10.6198,0.8,52.2988,WIN,6.4,TP,10.62,4260.37
2026-07-27 19:40,FET,LONG,0.1596,0.1497,-6.203,0.8,-31.815,LOSS,45.7,SL,0.376,4228.16
2026-07-28 00:15,CHZ,SHORT,0.01422,0.01314,7.5949,0.8,37.1747,WIN,79.5,TIMEOUT,7.595,4264.93
2026-07-28 00:25,NIL,LONG,0.04623,0.0392,-15.2066,0.8,-76.8329,LOSS,13.9,SL,0.627,4188.1
2026-07-28 06:35,SOPH,SHORT,0.004402,0.004155,5.6111,0.8,27.2554,WIN,72.9,TIMEOUT,5.611,4214.96
2026-07-28 07:05,ZEN,LONG,4.148,3.866,-6.7985,0.8,-34.7923,LOSS,32.1,SL,0.0,4180.16
2026-07-28 07:30,JOE,LONG,0.02805,0.02509,-10.5526,0.8,-53.5629,LOSS,63.9,SL,3.28,4126.6
2026-07-29 05:15,COAI,LONG,0.3226,0.331,2.6038,0.8,12.2192,WIN,47.9,TRAIL,5.487,4138.42
2026-07-29 05:50,MYX,SHORT,0.07301,0.06491,11.0944,0.8,54.6719,WIN,47.5,TP,11.094,4193.09
2026-07-29 05:55,ARC,SHORT,0.05718,0.05084,11.0878,0.8,54.639,WIN,66.8,TP,11.088,4247.73
2026-07-29 10:10,VVV,SHORT,12.42,13.038,-4.9758,0.8,-25.6792,LOSS,32.3,SL,0.0,4221.25
2026-07-29 11:35,TNSR,SHORT,0.02994,0.03134,-4.676,0.8,-24.1801,LOSS,7.3,SL,0.0,4197.07
