ts,strategy,coin,action,direction,entry_price
2026-06-01T18:21:38.649432+00:00,VWAP_WIDE,FOLKS,CLOSE,TP,1.44,1.379,-1,6.1141666666666605,4.236111111111107
2026-06-01T18:21:39.749579+00:00,STOCHASTIC_EXTREME,BAS,OPEN,1,0.023892
2026-06-01T18:21:40.349949+00:00,STOCHASTIC_EXTREME,DEXE,OPEN,-1,18.619,0.0,0.0,0,0.6626272418807562,17.15,3.48
2026-06-01T18:21:41.049554+00:00,WILLIAMS_R,BAS,OPEN,1,0.023892
2026-06-01T18:21:41.653011+00:00,WILLIAMS_R,BEAT,OPEN,-1,1.1264,0.0,0.0,0,-0.22820763956904996,394.0,627.0
2026-06-01T18:21:42.049253+00:00,WILLIAMS_R,Q,CLOSE,TP,0.019201,0.019608,1,3.9193625332014075,2.1196812666007037
2026-06-01T18:21:42.950251+00:00,CCI_EXTREME,BAS,OPEN,1,0.023892,0.0,0.0,0,-0.8620759153510246,2053.0,27717.0
2026-06-01T18:21:42.951943+00:00,CCI_EXTREME,UB,CLOSE,SL,0.16557,0.17741,-1,-14.622107869783196,-7.151053934891598
2026-06-01T18:21:43.449867+00:00,HEIKIN_ASHI_TREND,BAS,OPEN,-1,0.023892
2026-06-01T18:21:44.049734+00:00,HEIKIN_ASHI_TREND,BSB,OPEN,-1,0.26936,0.0,0.0,0,0.14146341463414633,234.0,176.0
2026-06-01T18:21:44.051470+00:00,HEIKIN_ASHI_TREND,AIOT,CLOSE,SL,0.05535,0.06213,-1,-24.818644986449844,-12.249322493224922
2026-06-01T18:21:44.052645+00:00,HEIKIN_ASHI_TREND,APR,CLOSE,SL,0.17071,0.17633,-1,-6.904265713783594,-3.2921328568917967
2026-06-01T18:21:44.849669+00:00,HEIKIN_ASHI_TREND,币安人生,OPEN,-1,0.63712,0.0,0.0,0,0.5512920908379013,1981.0,573.0
2026-06-01T18:21:46.052211+00:00,KELTNER_BREAKOUT,BSB,OPEN,-1,0.26936,0.0,0.0,0,-0.20944558521560575,385.0,589.0
2026-06-02T06:20:44.493599+00:00,CANDLE_HAMMER_LONG,TRADOOR,CLOSE,TP,0.4578,0.49,1,13.747278287461777,7.0336391437308885
2026-06-02T06:20:45.795829+00:00,CANDLE_HAMMER_LONG,TA,OPEN,1,0.09216
2026-06-02T06:20:46.592766+00:00,WICKS_LONG_LOWER,TRADOOR,CLOSE,TP,0.4578,0.49,1,13.747278287461777,7.0336391437308885
2026-06-02T06:20:46.594314+00:00,WICKS_LONG_LOWER,币安人生,CLOSE,SL,0.65753,0.61607,1,-12.930831444953068,-6.305415722476533
2026-06-02T06:20:47.392512+00:00,WICKS_SHORT_UPPER,AIGENSYN,OPEN,-1,0.03127,0.0,0.0,0,-0.08171887806540992,253205.0,298271.0
2026-06-02T06:20:47.492233+00:00,WICKS_SHORT_UPPER,BASED,CLOSE,TP,0.07055,0.06712,-1,9.403600283486895,4.861800141743448
2026-06-02T06:20:47.493872+00:00,WICKS_SHORT_UPPER,HIGH,CLOSE,TP,0.1293,0.1237,-1,8.342026295436959,4.33101314771848
2026-06-02T06:20:48.195762+00:00,WICKS_SHORT_UPPER,RIVER,CLOSE,TP,6.412,6.181,-1,6.885240174672485,3.6026200873362426
2026-06-02T06:20:48.794848+00:00,VOL_SPIKE_FOLLOW,BSB,CLOSE,SL,0.26936,0.30707,-1,-28.31970299970302,-13.99985149985151
2026-06-02T06:20:50.594009+00:00,VWAP_REVERT,DYDX,OPEN,1,0.1705
2026-06-02T06:20:51.392648+00:00,VWAP_REVERT,CELO,OPEN,1,0.07277
2026-06-02T06:20:51.396930+00:00,VWAP_REVERT,UB,CLOSE,SL,0.17741,0.19003,-1,-14.546931965503628,-7.113465982751813
2026-06-02T06:20:51.993081+00:00,RSI_EXTREME,KGEN,CLOSE,SL,0.18272,0.20302,-1,-33.8096847635727,-11.1098949211909
2026-06-02T06:20:52.193863+00:00,RSI_EXTREME,EDU,CLOSE,TP,0.04505,0.04373,-1,8.31023307436183,2.9300776914539437
2026-06-02T06:20:52.196241+00:00,BB_PURE_REVERT,CELO,CLOSE,TP,0.07582,0.07277,-1,11.588055921920326,4.022685307306776
2026-06-02T06:20:53.092684+00:00,BB_PURE_REVERT,DYDX,OPEN,1,0.1705
2026-06-02T06:20:53.691797+00:00,BB_PURE_REVERT,ALICE,CLOSE,TP,0.1233,0.1219,-1,2.9263260340632904,1.1354420113544301
2026-06-02T06:20:54.593265+00:00,ZSCORE_SLOW_REVERT,CELO,OPEN,1,0.07277,0.0,0.0,0,-0.020134887128324057,12974.1,13507.300000000001
2026-06-02T06:20:54.595835+00:00,ATR_BREAKOUT_FOLLOW,BSB,CLOSE,SL,0.26936,0.30707,-1,-42.479554499554524,-13.99985149985151
2026-06-02T06:20:55.094405+00:00,MEAN_REVERT_BB_RSI,KGEN,CLOSE,SL,0.18272,0.20302,-1,-56.3494746059545,-11.1098949211909
2026-06-02T06:20:56.293697+00:00,MTF_MOMENTUM,BSB,CLOSE,SL,0.26936,0.30707,-1,-28.31970299970302,-13.99985149985151
2026-06-02T06:20:56.694974+00:00,MTF_MOMENTUM,RIVER,CLOSE,TP,6.412,6.181,-1,6.885240174672485,3.6026200873362426
2026-06-02T06:20:57.792828+00:00,CANDLE_THREE_CROWS_SHORT,DRIFT,OPEN,-1,0.02054
2026-06-02T06:20:58.192641+00:00,CANDLE_HAMMER_SHORT,BASED,CLOSE,TP,0.07055,0.06712,-1,7.052700212615171,4.861800141743448
2026-06-02T06:20:59.191955+00:00,ZSCORE_TIGHT,CELO,OPEN,1,0.07277
2026-06-02T06:20:59.993709+00:00,ZSCORE_TIGHT,DYDX,OPEN,1,0.1705
2026-06-02T06:21:01.393913+00:00,ZSCORE_TIGHT,ALICE,OPEN,1,0.1219,0.0,0.0,0,-0.04921807298750634,124254.6,137118.9
2026-06-02T06:21:01.791567+00:00,DONCHIAN_SHORT_WIN,BSB,CLOSE,SL,0.26936,0.30707,-1,-28.31970299970302,-13.99985149985151
2026-06-02T06:21:01.793390+00:00,ATR_HIGH_MULT,BSB,CLOSE,SL,0.26936,0.30707,-1,-21.239777249777262,-13.99985149985151
2026-06-02T06:21:03.092213+00:00,VWAP_TIGHT,DYDX,OPEN,1,0.1705,0.0,0.0,0,0.18243913556936767,151490.2,104743.2
2026-06-02T06:21:03.094097+00:00,VWAP_TIGHT,CELO,CLOSE,TP,0.07582,0.07277,-1,5.794027960960163,4.022685307306776
2026-06-02T06:21:03.095474+00:00,VWAP_TIGHT,1000SATS,CLOSE,TP,1.163e-05,1.137e-05,-1,3.113396388650054,2.2355975924333698
2026-06-02T06:21:03.292691+00:00,VWAP_TIGHT,ALICE,CLOSE,TP,0.1233,0.1219,-1,1.4631630170316452,1.1354420113544301
2026-06-02T06:21:03.692029+00:00,VWAP_TIGHT,AIOT,OPEN,-1,0.06291
2026-06-02T06:21:04.495766+00:00,VWAP_WIDE,DYDX,CLOSE,SL,0.1797,0.1705,1,-7.919465776293812,-5.119643850862541
2026-06-02T06:21:05.492939+00:00,VWAP_WIDE,UB,OPEN,-1,0.19003,0.0,0.0,0,-0.7225042301184433,164.0,1018.0
2026-06-02T06:21:05.793647+00:00,VWAP_WIDE,M,OPEN,-1,3.3348
2026-06-02T06:21:06.691232+00:00,VWAP_WIDE,FOLKS,OPEN,1,1.356,0.0,0.0,0,0.7902450598656673,29425.9,3447.7
2026-06-02T06:21:07.492779+00:00,VWAP_WIDE,AIN,OPEN,1,0.07109,0.0,0.0,0,-0.30312764158918004,2061.0,3854.0
2026-06-02T06:21:08.492550+00:00,STOCHASTIC_EXTREME,BULLA,OPEN,1,0.005487
