timestamp,pair,direction,n_entries,entry_spread,exit_spread,entry_z,exit_z,pnl_pct,fee_usd,net_pnl_usd,outcome,hold_h,reason,balance_after,beta_stored,kelly_weight,mfe_pct,half_life_h
2026-07-15 18:46,SSV/VANA,LONG,4,0.332069,0.347792,-1.545,-1.055,1.5724,0.6688,5.9036,WIN,2.8,profit_lock,4379.98,1.718395,1.0,1.81,28.488023694913256
2026-07-15 18:46,H/HEMI,LONG,9,-0.868343,-1.101862,-5.18,-5.134,-23.3519,0.673,-98.9011,LOSS,1.9,STOP,4281.03,0.324765,1.0,0.513,6.139157150196726
2026-07-15 19:36,ETHW/FOLKS,SHORT,10,-0.588889,-0.603819,1.899,1.589,1.493,0.6731,5.608,WIN,2.8,profit_lock,4285.56,-1.037189,1.0,1.691,9.458692322290416
2026-07-15 20:46,H/LUNA2,LONG,13,-0.185242,-0.178853,-5.205,-4.273,0.6389,0.685,2.0501,WIN,2.0,swap,4286.56,0.879144,1.0,1.331,7.727497916321881
2026-07-15 21:41,H/MAV,LONG,18,-0.170229,-0.159217,-5.029,-3.63,1.1012,0.6737,3.9633,WIN,4.8,swap,4290.12,0.572471,1.0,1.228,5.224343177721509
2026-07-15 21:51,ENA/SEI,SHORT,7,0.033448,0.023102,1.619,1.098,1.0346,1.12,6.122,WIN,18.4,profit_lock,4296.2,0.829852,1.5,1.511,31.05957795860245
2026-07-15 21:56,H/HEMI,LONG,4,-0.176174,-0.160191,-4.204,-3.53,1.5983,0.6858,6.1653,WIN,1.2,profit_lock,4302.33,0.494722,1.0,2.226,8.945011053235639
2026-07-16 12:31,ETHFI/SAND,SHORT,14,0.069219,0.059781,1.588,1.572,0.9438,0.3558,1.7429,WIN,21.9,swap,4302.68,0.297796,0.5,0.944,38.00397623671213
2026-07-16 12:46,H/MAV,LONG,13,-0.158619,-0.14943,-3.621,-2.172,0.9189,0.6884,3.2648,WIN,14.8,swap,4305.88,0.574823,1.0,0.919,7.457712653987134
2026-07-16 12:51,ETHW/FOLKS,SHORT,9,-0.590056,-0.606808,1.421,1.004,1.6752,0.6874,6.5097,WIN,15.0,profit_lock,4312.35,-1.050046,1.0,2.207,9.825705016846202
2026-07-16 12:56,GALA/SAND,LONG,4,-0.028251,-0.015782,-1.335,-0.581,1.2469,1.0119,6.8737,WIN,19.9,swap,4319.16,2.040719,1.5,1.292,21.38318196792045
2026-07-16 13:21,H/LUNA2,LONG,15,-0.161668,-0.151964,-3.623,-2.164,0.9704,0.6864,3.4768,WIN,15.7,profit_lock,4322.55,0.881184,1.0,1.612,8.212310431900827
2026-07-16 13:31,MUBARAK/RECALL,LONG,4,-1.994166,-1.980898,-2.597,-2.272,1.3268,0.6889,5.0241,WIN,0.8,profit_lock,4327.4,0.728029,1.0,1.588,24.257079829048234
2026-07-16 13:41,AXL/BIO,SHORT,6,0.014462,0.009511,1.694,0.996,0.4951,0.6996,1.465,WIN,20.4,swap,4328.8,0.88766,1.0,1.022,10.754418809360727
2026-07-16 13:56,H/LPT,LONG,3,-1.726619,-1.72378,-2.172,-2.01,0.2839,0.6916,0.5358,WIN,0.6,profit_lock,4329.22,-2.657597,1.0,1.848,32.56407076809146
2026-07-16 14:16,PROMPT/RECALL,LONG,8,-1.499949,-1.486875,-1.652,-1.07,1.3074,0.48,3.4421,WIN,18.7,profit_lock,4332.4,0.716845,0.7,1.519,44.93365268140381
2026-07-16 14:36,H/MAGIC,LONG,20,-0.123524,-0.167167,-1.793,-2.095,-4.3643,0.7557,-21.3678,LOSS,24.2,TIMEOUT,4310.78,0.846004,1.0,0.08,3.9951787464057493
2026-07-16 14:56,CROSS/ETHW,LONG,18,-1.00599,-1.058324,-2.955,-2.042,-5.2334,0.7532,-25.3912,LOSS,24.7,TIMEOUT,4285.25,1.159129,1.0,0.305,9.634249140405089
