d $-114.52, Open 0/20
[2026-06-23 01:12:21] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-23 01:29:11] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-23 01:52:05] Cycle done. Cap $4366.23, Realized $-133.77, Open 2/20
[2026-06-23 02:13:59] CLOSE BSB -1: SL pnl $-9.20 (-3.52%)
[2026-06-23 02:14:40] OPEN IRYS SHORT @ 0.01584, SL=0.016176, TP=0.014943
[2026-06-23 02:15:18] Cycle done. Cap $4357.03, Realized $-142.97, Open 2/20
[2026-06-23 02:38:16] Cycle done. Cap $4357.03, Realized $-142.97, Open 2/20
[2026-06-23 03:03:23] Cycle done. Cap $4357.03, Realized $-142.97, Open 2/20
[2026-06-23 03:30:25] Cycle done. Cap $4357.03, Realized $-142.97, Open 2/20
[2026-06-23 03:48:52] Cycle done. Cap $4357.03, Realized $-142.97, Open 2/20
[2026-06-23 04:13:16] OPEN AGT SHORT @ 0.020781, SL=0.021267, TP=0.019484
[2026-06-23 04:13:23] Cycle done. Cap $4107.03, Realized $-142.97, Open 3/20
[2026-06-23 04:37:05] Cycle done. Cap $4107.03, Realized $-142.97, Open 3/20
[2026-06-23 04:57:04] Cycle done. Cap $4107.03, Realized $-142.97, Open 3/20
[2026-06-23 05:24:46] OPEN BROCCOLIF3B SHORT @ 0.004428, SL=0.004507, TP=0.004217
[2026-06-23 05:25:11] Cycle done. Cap $3857.03, Realized $-142.97, Open 4/20
[2026-06-23 05:50:53] Cycle done. Cap $3857.03, Realized $-142.97, Open 4/20
[2026-06-23 06:21:48] OPEN NIL SHORT @ 0.03684, SL=0.037654, TP=0.034669
[2026-06-23 06:22:05] OPEN FHE SHORT @ 0.01879, SL=0.019219, TP=0.017647
[2026-06-23 06:22:21] CLOSE HEI -1: SL pnl $-6.88 (-2.59%)
[2026-06-23 06:22:28] OPEN PHA SHORT @ 0.03625, SL=0.036931, TP=0.034433
[2026-06-23 06:24:09] OPEN CLANKER SHORT @ 16.66, SL=16.938571, TP=15.917143
[2026-06-23 06:24:12] Cycle done. Cap $3100.15, Realized $-149.85, Open 7/20
[2026-06-23 06:55:07] Cycle done. Cap $3100.15, Realized $-149.85, Open 7/20
[2026-06-23 07:09:14] Cycle done. Cap $3100.15, Realized $-149.85, Open 7/20
[2026-06-23 07:10:54] Cycle done. Cap $3100.15, Realized $-149.85, Open 7/20
[2026-06-23 07:15:24] Cycle done. Cap $3100.15, Realized $-149.85, Open 7/20
[2026-06-23 07:20:13] CLOSE NIL -1: SL pnl $-6.24 (-2.33%)
[2026-06-23 07:20:17] Cycle done. Cap $3343.92, Realized $-156.08, Open 6/20
